카테고리: 모든 카테고리

월,American Exceptionalism: (전 세계)
2004-01,0
2004-02,0
2004-03,0
2004-04,37
2004-05,52
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,41
2004-11,0
2004-12,48
2005-01,25
2005-02,26
2005-03,32
2005-04,35
2005-05,23
2005-06,18
2005-07,0
2005-08,21
2005-09,22
2005-10,34
2005-11,21
2005-12,28
2006-01,22
2006-02,34
2006-03,26
2006-04,31
2006-05,38
2006-06,16
2006-07,0
2006-08,0
2006-09,19
2006-10,34
2006-11,26
2006-12,24
2007-01,19
2007-02,15
2007-03,26
2007-04,19
2007-05,24
2007-06,16
2007-07,9
2007-08,12
2007-09,24
2007-10,32
2007-11,27
2007-12,23
2008-01,17
2008-02,21
2008-03,24
2008-04,26
2008-05,26
2008-06,16
2008-07,10
2008-08,16
2008-09,35
2008-10,46
2008-11,67
2008-12,32
2009-01,25
2009-02,24
2009-03,28
2009-04,42
2009-05,30
2009-06,30
2009-07,25
2009-08,16
2009-09,31
2009-10,35
2009-11,37
2009-12,39
2010-01,26
2010-02,35
2010-03,45
2010-04,43
2010-05,45
2010-06,26
2010-07,29
2010-08,27
2010-09,46
2010-10,48
2010-11,61
2010-12,52
2011-01,52
2011-02,48
2011-03,41
2011-04,43
2011-05,53
2011-06,35
2011-07,31
2011-08,34
2011-09,54
2011-10,53
2011-11,43
2011-12,42
2012-01,46
2012-02,42
2012-03,41
2012-04,34
2012-05,36
2012-06,28
2012-07,35
2012-08,46
2012-09,57
2012-10,61
2012-11,47
2012-12,35
2013-01,31
2013-02,41
2013-03,35
2013-04,34
2013-05,30
2013-06,18
2013-07,18
2013-08,22
2013-09,100
2013-10,57
2013-11,37
2013-12,31
2014-01,29
2014-02,43
2014-03,35
2014-04,30
2014-05,36
2014-06,25
2014-07,29
2014-08,21
2014-09,39
2014-10,43
2014-11,29
2014-12,33
2015-01,30
2015-02,65
2015-03,40
2015-04,36
2015-05,35
2015-06,22
2015-07,22
2015-08,41
2015-09,48
2015-10,44
2015-11,36
2015-12,38
2016-01,31
2016-02,43
2016-03,37
2016-04,33
2016-05,34
2016-06,24
2016-07,29
2016-08,33
2016-09,43
2016-10,41
2016-11,45
2016-12,29
2017-01,34
2017-02,39
2017-03,32
2017-04,32
2017-05,29
2017-06,17
2017-07,16
2017-08,21
2017-09,37
2017-10,34
2017-11,26
2017-12,26
2018-01,25
2018-02,31
2018-03,26
2018-04,26
2018-05,26
2018-06,19
2018-07,17
2018-08,20
2018-09,31
2018-10,30
2018-11,25
2018-12,19
2019-01,21
2019-02,25
2019-03,23
2019-04,21
2019-05,21
2019-06,13
2019-07,16
2019-08,20
2019-09,28
2019-10,26
2019-11,21
2019-12,19
2020-01,21
2020-02,24
2020-03,22
2020-04,29
2020-05,28
2020-06,26
2020-07,29
2020-08,44
2020-09,53
2020-10,32
2020-11,23
2020-12,20
2021-01,29
2021-02,23
2021-03,17
2021-04,16
2021-05,17
2021-06,12
2021-07,13
2021-08,18
2021-09,21
2021-10,17
2021-11,16
2021-12,15
2022-01,18
2022-02,23
2022-03,24
2022-04,24
2022-05,30
2022-06,18
2022-07,14
2022-08,16
2022-09,27
2022-10,24
2022-11,21
2022-12,18
2023-01,20
2023-02,24
2023-03,19
2023-04,20
2023-05,15
2023-06,12
2023-07,9
2023-08,13
2023-09,23
2023-10,18
2023-11,16
2023-12,17
2024-01,19
2024-02,21
2024-03,16
2024-04,18
2024-05,16
2024-06,10
2024-07,10
2024-08,16
2024-09,23
2024-10,21
2024-11,23
2024-12,19
2025-01,24
2025-02,29
2025-03,25
2025-04,21
2025-05,17
2025-06,15
2025-07,14
