month,1st,2nd,3rd,2nd - 1st,3rd - 2nd,3rd - 1st,val2_first_vintage,vintage_completeness,1st_vintage_key,revision1,revision2
1990-01-01,275.0,332.0,361.0,57.0,29.0,86.0,109823.0,3 vintage(s),1990-02-02,,
1990-02-01,372.0,356.0,373.0,-16.0,17.0,1.0,110274.0,3 vintage(s),1990-03-09,57.0,
1990-03-01,26.0,103.0,123.0,77.0,20.0,97.0,110313.0,3 vintage(s),1990-04-06,-16.0,29.0
1990-04-01,64.0,-23.0,-26.0,-87.0,-3.0,-90.0,110471.0,3 vintage(s),1990-05-04,77.0,17.0
1990-05-01,164.0,356.0,369.0,192.0,13.0,205.0,110568.0,3 vintage(s),1990-06-01,-87.0,20.0
1990-06-01,40.0,155.0,212.0,115.0,57.0,172.0,110797.0,3 vintage(s),1990-07-06,192.0,-3.0
1990-07-01,-219.0,-89.0,-89.0,130.0,0.0,130.0,110706.0,3 vintage(s),1990-08-03,115.0,13.0
1990-08-01,-75.0,-83.0,-127.0,-8.0,-44.0,-52.0,110665.0,3 vintage(s),1990-09-07,130.0,57.0
1990-09-01,-101.0,-52.0,-1.0,49.0,51.0,100.0,110556.0,3 vintage(s),1990-10-05,-8.0,0.0
1990-10-01,-68.0,-178.0,-180.0,-110.0,-2.0,-112.0,110493.0,3 vintage(s),1990-11-02,49.0,-44.0
1990-11-01,-267.0,-259.0,-267.0,8.0,-8.0,0.0,110167.0,3 vintage(s),1990-12-07,-110.0,51.0
1990-12-01,-76.0,-148.0,-161.0,-72.0,-13.0,-85.0,110097.0,3 vintage(s),1991-01-04,8.0,-2.0
1991-01-01,-232.0,-233.0,-191.0,-1.0,42.0,41.0,109785.0,3 vintage(s),1991-02-01,-72.0,-8.0
1991-02-01,-184.0,-291.0,-286.0,-107.0,5.0,-102.0,109587.0,3 vintage(s),1991-03-08,-1.0,-13.0
1991-03-01,-206.0,-241.0,-258.0,-35.0,-17.0,-52.0,109316.0,3 vintage(s),1991-04-05,-107.0,42.0
1991-04-01,-124.0,-180.0,-166.0,-56.0,14.0,-42.0,109162.0,3 vintage(s),1991-05-03,-35.0,5.0
1991-05-01,59.0,119.0,151.0,60.0,32.0,92.0,108781.0,3 vintage(s),1991-06-07,-56.0,-17.0
1991-06-01,-50.0,-21.0,-2.0,29.0,19.0,48.0,108805.0,3 vintage(s),1991-07-05,60.0,14.0
1991-07-01,-51.0,-73.0,-26.0,-22.0,47.0,25.0,108815.0,3 vintage(s),1991-08-02,29.0,32.0
1991-08-01,34.0,77.0,112.0,43.0,35.0,78.0,108846.0,3 vintage(s),1991-09-06,-22.0,19.0
1991-09-01,24.0,48.0,95.0,24.0,47.0,71.0,108960.0,3 vintage(s),1991-10-04,43.0,47.0
1991-10-01,-1.0,4.0,7.0,5.0,3.0,8.0,109018.0,3 vintage(s),1991-11-01,24.0,35.0
1991-11-01,-241.0,-265.0,-230.0,-24.0,35.0,11.0,108829.0,3 vintage(s),1991-12-06,5.0,47.0
1991-12-01,31.0,3.0,39.0,-28.0,36.0,8.0,108839.0,3 vintage(s),1992-01-10,-24.0,3.0
1992-01-01,-91.0,-149.0,-122.0,-58.0,27.0,-31.0,108755.0,3 vintage(s),1992-02-07,-28.0,35.0
1992-02-01,164.0,107.0,106.0,-57.0,-1.0,-58.0,108897.0,3 vintage(s),1992-03-06,-58.0,36.0
1992-03-01,19.0,39.0,58.0,20.0,19.0,39.0,108886.0,3 vintage(s),1992-04-03,-57.0,27.0
1992-04-01,126.0,182.0,177.0,56.0,-5.0,51.0,109031.0,3 vintage(s),1992-05-08,20.0,-1.0
1992-05-01,68.0,93.0,119.0,25.0,26.0,51.0,108450.0,3 vintage(s),1992-06-05,56.0,19.0
1992-06-01,-117.0,-63.0,-73.0,54.0,-10.0,44.0,108353.0,3 vintage(s),1992-07-02,25.0,-5.0
1992-07-01,198.0,177.0,171.0,-21.0,-6.0,-27.0,108631.0,3 vintage(s),1992-08-07,54.0,26.0
1992-08-01,-83.0,-128.0,-109.0,-45.0,19.0,-26.0,108517.0,3 vintage(s),1992-09-04,-21.0,-10.0
1992-09-01,-57.0,-72.0,12.0,-15.0,84.0,69.0,108409.0,3 vintage(s),1992-10-02,-45.0,-6.0
1992-10-01,27.0,34.0,74.0,7.0,40.0,47.0,108440.0,3 vintage(s),1992-11-06,-15.0,19.0
1992-11-01,105.0,76.0,75.0,-29.0,-1.0,-30.0,108636.0,3 vintage(s),1992-12-04,7.0,84.0
1992-12-01,64.0,90.0,106.0,26.0,16.0,42.0,108711.0,3 vintage(s),1993-01-08,-29.0,40.0
1993-01-01,106.0,44.0,113.0,-62.0,69.0,7.0,108842.0,3 vintage(s),1993-02-05,26.0,-1.0
1993-02-01,365.0,367.0,338.0,2.0,-29.0,-27.0,109161.0,3 vintage(s),1993-03-05,-62.0,16.0
1993-03-01,-22.0,-9.0,26.0,13.0,35.0,48.0,109210.0,3 vintage(s),1993-04-02,2.0,69.0
1993-04-01,119.0,216.0,255.0,97.0,39.0,136.0,109313.0,3 vintage(s),1993-05-07,13.0,-29.0
1993-05-01,209.0,215.0,238.0,6.0,23.0,29.0,109990.0,3 vintage(s),1993-06-04,97.0,35.0
