operationId,auctionStatus,operationDate,settlementDate,maturityDate,Type,operationMethod,settlementType,termCalenderDays,term,releaseTime,closeTime,note,lastUpdated,Participating Cpty,Accepted Cpty,totalAmtSubmitted,Total Volume,details,propositions,Date
RP 020124 1,Results,2024-02-01,2024-02-01,2024-02-02,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-02-01 13:15:52,74,74,503548000000,503548000000,"[{'securityType': 'Treasury', 'amtSubmitted': 503548000000, 'amtAccepted': 503548000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 25855000000}, {'counterpartyType': 'mmf', 'amtAccepted': 477693000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",2024-02-01
RP 013124 1,Results,2024-01-31,2024-01-31,2024-02-01,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-31 13:15:52,82,82,615379000000,615379000000,"[{'securityType': 'Treasury', 'amtSubmitted': 615379000000, 'amtAccepted': 615379000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 31940000000}, {'counterpartyType': 'mmf', 'amtAccepted': 583439000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",2024-01-31
RP 013024 1,Results,2024-01-30,2024-01-30,2024-01-31,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-30 13:15:55,78,78,577755000000,577755000000,"[{'securityType': 'Treasury', 'amtSubmitted': 577755000000, 'amtAccepted': 577755000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 1000000}, {'counterpartyType': 'gse', 'amtAccepted': 26300000000}, {'counterpartyType': 'mmf', 'amtAccepted': 551453000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000}]",2024-01-30
RP 012924 1,Results,2024-01-29,2024-01-29,2024-01-30,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-29 13:18:47,81,81,581410000000,581410000000,"[{'securityType': 'Treasury', 'amtSubmitted': 581410000000, 'amtAccepted': 581410000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 1501000000}, {'counterpartyType': 'gse', 'amtAccepted': 33547000000}, {'counterpartyType': 'mmf', 'amtAccepted': 545362000000}, {'counterpartyType': 'pd', 'amtAccepted': 1000000000}]",2024-01-29
RP 012624 1,Results,2024-01-26,2024-01-26,2024-01-29,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2024-01-26 13:15:59,77,77,570828000000,570828000000,"[{'securityType': 'Treasury', 'amtSubmitted': 570828000000, 'amtAccepted': 570828000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 27155000000}, {'counterpartyType': 'mmf', 'amtAccepted': 543673000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",2024-01-26
RP 012524 1,Results,2024-01-25,2024-01-25,2024-01-26,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-25 13:15:42,82,82,557687000000,557687000000,"[{'securityType': 'Treasury', 'amtSubmitted': 557687000000, 'amtAccepted': 557687000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 29755000000}, {'counterpartyType': 'mmf', 'amtAccepted': 527932000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",2024-01-25
RP 012424 1,Results,2024-01-24,2024-01-24,2024-01-25,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-24 13:15:47,83,83,639560000000,639560000000,"[{'securityType': 'Treasury', 'amtSubmitted': 639560000000, 'amtAccepted': 639560000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 29002000000}, {'counterpartyType': 'mmf', 'amtAccepted': 610258000000}, {'counterpartyType': 'pd', 'amtAccepted': 300000000}]",2024-01-24
RP 012324 1,Results,2024-01-23,2024-01-23,2024-01-24,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-23 13:16:01,82,82,621195000000,621195000000,"[{'securityType': 'Treasury', 'amtSubmitted': 621195000000, 'amtAccepted': 621195000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 30625000000}, {'counterpartyType': 'mmf', 'amtAccepted': 590570000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",2024-01-23
RP 012224 1,Results,2024-01-22,2024-01-22,2024-01-23,Reverse Repo,Fixed Rate,Same Day,1,Overnight,12:45,13:15,,2024-01-22 13:15:37,84,84,647103000000,647103000000,"[{'securityType': 'Treasury', 'amtSubmitted': 647103000000, 'amtAccepted': 647103000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 2400000000}, {'counterpartyType': 'gse', 'amtAccepted': 33650000000}, {'counterpartyType': 'mmf', 'amtAccepted': 610553000000}, {'counterpartyType': 'pd', 'amtAccepted': 500000000}]",2024-01-22
RP 011924 1,Results,2024-01-19,2024-01-19,2024-01-22,Reverse Repo,Fixed Rate,Same Day,3,Overnight,12:45,13:15,,2024-01-19 13:15:49,79,79,625182000000,625182000000,"[{'securityType': 'Treasury', 'amtSubmitted': 625182000000, 'amtAccepted': 625182000000, 'percentOfferingRate': 5.3, 'percentAwardRate': 5.3}]","[{'counterpartyType': 'bank', 'amtAccepted': 0}, {'counterpartyType': 'gse', 'amtAccepted': 35775000000}, {'counterpartyType': 'mmf', 'amtAccepted': 589407000000}, {'counterpartyType': 'pd', 'amtAccepted': 0}]",2024-01-19
